FFFFFFFFFFFFFFFFD9A9BEAEE8EDA8BDA989D9F8
2
(12, 6) (19, 1) 123 31 31 59 31 63 59 27 27 27 27 27 63 27 27 27 124 111 63 111 122 83 63 91 91 93 83 124 63 119 122 124 46 111 123 111 36 111 27 127
(12, 5) (21, 3) 123 31 31 59 31 63 59 27 27 27 27 27 31 27 27 27 124 111 63 111 122 91 63 91 91 93 83 124 63 119 122 124 46 111 123 111 36 111 27 127
(12, 2) (25, 5) 123 31 31 59 31 63 59 27 27 27 27 27 27 27 27 27 124 111 63 111 122 91 63 91 91 125 83 124 63 119 122 124 46 111 123 111 36 111 27 127
(6, 5) (25, 1) 123 31 31 59 31 63 27 27 27 27 27 27 27 27 27 27 124 111 63 111 122 91 63 91 91 127 83 124 63 119 122 124 46 111 123 111 36 111 27 127
(5, 5) (26, 3) 123 31 31 59 31 31 27 27 27 27 27 27 27 27 27 27 124 111 63 111 122 91 63 91 91 127 91 124 63 119 122 124 46 111 123 111 36 111 27 127
(5, 2) (29, 3) 123 31 31 59 31 27 27 27 27 27 27 27 27 27 27 27 124 111 63 111 122 91 63 91 91 127 91 124 63 127 122 124 46 111 123 111 36 111 27 127
(4, 2) (32, 4) 123 31 31 59 27 27 27 27 27 27 27 27 27 27 27 27 124 111 63 111 122 91 63 91 91 127 91 124 63 127 122 124 62 111 123 111 36 111 27 127
(3, 5) (32, 0) 123 31 31 27 27 27 27 27 27 27 27 27 27 27 27 27 124 111 63 111 122 91 63 91 91 127 91 124 63 127 122 124 63 111 123 111 36 111 27 127
(2, 2) (34, 2) 123 31 27 27 27 27 27 27 27 27 27 27 27 27 27 27 124 111 63 111 122 91 63 91 91 127 91 124 63 127 122 124 63 111 127 111 36 111 27 127
(1, 2) (36, 6) 123 27 27 27 27 27 27 27 27 27 27 27 27 27 27 27 124 111 63 111 122 91 63 91 91 127 91 124 63 127 122 124 63 111 127 111 100 111 27 127
(0, 6) (36, 4) 59 27 27 27 27 27 27 27 27 27 27 27 27 27 27 27 124 111 63 111 122 91 63 91 91 127 91 124 63 127 122 124 63 111 127 111 116 111 27 127
(0, 5) (36, 3) 27 27 27 27 27 27 27 27 27 27 27 27 27 27 27 27 124 111 63 111 122 91 63 91 91 127 91 124 63 127 122 124 63 111 127 111 124 111 27 127
